fecha,hora,ticker_us,cedear,bid_ars,offer_ars,spread_ars_pct,prof_bids,prof_offers,qbid1,qoff1,qbid5,qoff5,ars_bid5,ars_off5,bid_d,offer_d,spread_d_pct,px_subyacente_usd,mep_al30,ratio,prima_mep_pct,prima_d_pct
2026-07-20,16:23,GLD,GLD,11580,11600,0.173,5,5,,,,,,,7.66,7.68,0.261,,1513.24,50,,
2026-07-20,16:23,SLV,SLV,13400,13430,0.224,5,5,,,,,,,8.84,8.89,0.564,,1513.24,6,,
2026-07-20,16:23,XLY,XLY,4172.5,4197.5,0.597,5,5,,,,,,,2.75,2.78,1.085,,1513.24,43,,
2026-07-20,16:23,XLV,XLV,8640,8655,0.173,5,5,,,,,,,5.71,5.74,0.524,,1513.24,29,,
2026-07-20,16:23,XLRE,XLRE,7880,7910,0.38,5,5,,,,,,,5.2,5.25,0.957,45.19,1513.24,9,3.91,4.06
2026-07-20,16:23,XLK,XLK,6005,6035,0.498,5,5,,,,,,,3.98,4.0,0.501,,1513.24,46,,
2026-07-20,16:23,XLI,XLI,9985,10010,0.25,5,5,,,,,,,6.58,6.65,1.058,,1513.24,28,,
2026-07-20,16:23,XLF,XLF,44020,44080,0.136,5,5,,,,,,,29.11,29.26,0.514,,1513.24,2,,
2026-07-20,16:23,XLE,XLE,45760,45840,0.175,5,5,,,,,,,30.29,30.34,0.165,,1513.24,2,,
2026-07-20,16:23,XLC,XLC,9165,9205,0.435,5,5,,,,,,,6.04,6.1,0.988,110.89,1513.24,19,4.0,4.0
2026-07-20,16:23,XLB,XLB,4372.5,4382.5,0.228,5,4,,,,,,,2.88,2.9,0.692,50.01,1513.24,18,4.12,4.02
2026-07-20,16:23,XLP,XLP,8320,8345,0.3,5,5,,,,,,,5.51,5.53,0.362,84.69,1513.24,16,4.03,4.29
2026-07-20,16:23,PSQ,PSQ,5190,5200,0.192,5,5,,,,,,,3.42,3.44,0.583,,1513.24,8,,
2026-07-20,16:23,EWZ,EWZ,27920,27960,0.143,5,5,,,,,,,18.45,18.51,0.325,,1513.24,2,,
2026-07-20,16:23,FXI,FXI,11020,11050,0.272,5,5,,,,,,,7.27,7.32,0.685,,1513.24,5,,
2026-07-20,16:23,COPX,COPX,8285,8305,0.241,5,5,,,,,,,5.48,5.51,0.546,73.69,1513.24,14,4.14,4.4
2026-07-20,16:23,URA,URA,12110,12140,0.247,5,5,,,,,,,8,8.04,0.499,,1513.24,5,,
2026-07-20,16:23,ARKK,ARKK,11800,11850,0.423,5,5,,,,,,,7.83,7.85,0.255,,1513.24,10,,
2026-07-20,16:23,ITA,ITA,7215,7225,0.139,5,5,,,,,,,4.72,4.81,1.889,229.4,1513.24,50,3.99,3.86
2026-07-20,16:23,SMH,SMH,17580,17590,0.057,5,5,,,,,,,11.61,11.68,0.601,559.64,1513.24,50,3.82,4.04
2026-07-20,16:23,EEM,EEM,19990,20030,0.2,5,5,,,,,,,13.22,13.31,0.678,63.6,1513.24,5,3.96,4.28
2026-07-20,16:23,MSFT,MSFT,21010,21040,0.143,5,5,,,,,,,13.86,13.89,0.216,401.16,1513.24,30,3.9,3.76
